candidate_id,source_id,source_record_key,country_code,data_domain,duplicate_group_id,duplicate_member_count,reason,payload_summary,reviewed_at,resolution_status
ons-countries-geography-v1:GB:country:001,ons-countries-geography-v1,GB:country:001,GB,geography,dup:ons-countries-geography-v1:GB:country:001,2,"duplicate (source_id, source_record_key) detected; automatic deduplication is forbidden - review manually","{""area_km2"":242495,""capital"":""London"",""currency_code"":""GBP"",""official_languages"":[""en"",""cy""],""official_name"":""United Kingdom of Great Britain and Northern Ireland""}",,pending_review
ons-countries-geography-v1:GB:country:001,ons-countries-geography-v1,GB:country:001,GB,geography,dup:ons-countries-geography-v1:GB:country:001,2,"duplicate (source_id, source_record_key) detected; automatic deduplication is forbidden - review manually","{""area_km2"":242495,""capital"":""London"",""official_name"":""United Kingdom of Great Britain and Northern Ireland""}",,pending_review
