schema_name,table_name,actual_row_count,count_status,observation_source
core,countries,,unavailable,static_migration_analysis
core,currencies,,unavailable,static_migration_analysis
core,qualification_frameworks,,unavailable,static_migration_analysis
core,qualification_levels,,unavailable,static_migration_analysis
core,geographies,,unavailable,static_migration_analysis
catalog,institutions,,unavailable,static_migration_analysis
catalog,institution_identifiers,,unavailable,static_migration_analysis
catalog,campuses,,unavailable,static_migration_analysis
catalog,programmes,,unavailable,static_migration_analysis
catalog,programme_identifiers,,unavailable,static_migration_analysis
catalog,programme_offerings,,unavailable,static_migration_analysis
catalog,programme_fees,,unavailable,static_migration_analysis
catalog,programme_requirements,,unavailable,static_migration_analysis
catalog,programme_accreditations,,unavailable,static_migration_analysis
catalog,legacy_entity_map,,unavailable,static_migration_analysis
taxonomy,study_concepts,,unavailable,static_migration_analysis
taxonomy,occupations,,unavailable,static_migration_analysis
taxonomy,occupation_identifiers,,unavailable,static_migration_analysis
taxonomy,programme_concepts,,unavailable,static_migration_analysis
taxonomy,concept_occupations,,unavailable,static_migration_analysis
evidence,sources,,unavailable,static_migration_analysis
evidence,source_snapshots,,unavailable,static_migration_analysis
evidence,metric_observations,,unavailable,static_migration_analysis
evidence,claims,,unavailable,static_migration_analysis
evidence,claim_evidence,,unavailable,static_migration_analysis
evidence,review_events,,unavailable,static_migration_analysis
evidence,source_register_records,,unavailable,static_migration_analysis
evidence,ingestion_runs,,unavailable,static_migration_analysis
labour,outcome_observations,,unavailable,static_migration_analysis
reporting,products,,unavailable,static_migration_analysis
reporting,methodology_versions,,unavailable,static_migration_analysis
reporting,ranking_models,,unavailable,static_migration_analysis
reporting,ranking_weights,,unavailable,static_migration_analysis
reporting,analysis_runs,,unavailable,static_migration_analysis
reporting,analysis_inputs,,unavailable,static_migration_analysis
reporting,analysis_outputs,,unavailable,static_migration_analysis
reporting,report_releases,,unavailable,static_migration_analysis
reporting,report_artifacts,,unavailable,static_migration_analysis
reporting,monitoring_actions,,unavailable,static_migration_analysis
reporting,analysis_pathways,,unavailable,static_migration_analysis
reporting,analysis_scenarios,,unavailable,static_migration_analysis
reporting,report_programmes,,unavailable,static_migration_analysis
reporting,release_claims,,unavailable,static_migration_analysis
ingest,cities_au,,unavailable,static_migration_analysis
ingest,cities_ca,,unavailable,static_migration_analysis
ingest,cities_ie,,unavailable,static_migration_analysis
ingest,cities_uk,,unavailable,static_migration_analysis
ingest,cities_us,,unavailable,static_migration_analysis
ingest,colleges_au,,unavailable,static_migration_analysis
ingest,colleges_ca,,unavailable,static_migration_analysis
ingest,colleges_ie,,unavailable,static_migration_analysis
ingest,colleges_uk,,unavailable,static_migration_analysis
ingest,colleges_us,,unavailable,static_migration_analysis
ingest,colleges_nl,,unavailable,static_migration_analysis
ingest,courses_au,,unavailable,static_migration_analysis
ingest,courses_ca,,unavailable,static_migration_analysis
ingest,courses_ie,,unavailable,static_migration_analysis
ingest,courses_uk,,unavailable,static_migration_analysis
ingest,programs_us,,unavailable,static_migration_analysis
ingest,field_earnings_au,,unavailable,static_migration_analysis
ingest,field_earnings_ca,,unavailable,static_migration_analysis
ingest,field_earnings_ie,,unavailable,static_migration_analysis
ingest,field_earnings_uk,,unavailable,static_migration_analysis
ingest,graduate_outcomes_ie,,unavailable,static_migration_analysis
ingest,occupations_au,,unavailable,static_migration_analysis
ingest,occupations_ca,,unavailable,static_migration_analysis
ingest,occupations_uk,,unavailable,static_migration_analysis
ingest,occupation_state_au,,unavailable,static_migration_analysis
ingest,occupation_state_ca,,unavailable,static_migration_analysis
ingest,occupation_state_uk,,unavailable,static_migration_analysis
ingest,occupation_profiles_au,,unavailable,static_migration_analysis
ingest,occupation_outlook_au,,unavailable,static_migration_analysis
ingest,occupation_vacancies_au,,unavailable,static_migration_analysis
ingest,occupation_regional_employment_au,,unavailable,static_migration_analysis
ingest,occupation_mobility_flows_au,,unavailable,static_migration_analysis
ingest,occupation_mobility_stocks_au,,unavailable,static_migration_analysis
ingest,occupation_pathways_au,,unavailable,static_migration_analysis
ingest,occupation_shortage_drivers_au,,unavailable,static_migration_analysis
ingest,occupation_sa4_au,,unavailable,static_migration_analysis
ingest,visa_occupation_status_au,,unavailable,static_migration_analysis
ingest,regulatory_requirements_au,,unavailable,static_migration_analysis
ingest,program_page_facts_au,,unavailable,static_migration_analysis
ingest,state_salary_multiplier,,unavailable,static_migration_analysis
ingest,country_pr_pathways,,unavailable,static_migration_analysis
ingest,shortage_occupations_ie,,unavailable,static_migration_analysis
ingest,language_schools_ie,,unavailable,static_migration_analysis
ingest,language_courses_ie,,unavailable,static_migration_analysis
