schema_name,role_name,privilege,has_privilege,status
core,anon,USAGE,,unavailable
core,anon,SELECT,,unavailable
core,anon,INSERT,,unavailable
core,anon,UPDATE,,unavailable
core,anon,DELETE,,unavailable
core,authenticated,USAGE,,unavailable
core,authenticated,SELECT,,unavailable
core,authenticated,INSERT,,unavailable
core,authenticated,UPDATE,,unavailable
core,authenticated,DELETE,,unavailable
core,service_role,USAGE,,unavailable
core,service_role,SELECT,,unavailable
core,service_role,INSERT,,unavailable
core,service_role,UPDATE,,unavailable
core,service_role,DELETE,,unavailable
catalog,anon,USAGE,,unavailable
catalog,anon,SELECT,,unavailable
catalog,anon,INSERT,,unavailable
catalog,anon,UPDATE,,unavailable
catalog,anon,DELETE,,unavailable
catalog,authenticated,USAGE,,unavailable
catalog,authenticated,SELECT,,unavailable
catalog,authenticated,INSERT,,unavailable
catalog,authenticated,UPDATE,,unavailable
catalog,authenticated,DELETE,,unavailable
catalog,service_role,USAGE,,unavailable
catalog,service_role,SELECT,,unavailable
catalog,service_role,INSERT,,unavailable
catalog,service_role,UPDATE,,unavailable
catalog,service_role,DELETE,,unavailable
taxonomy,anon,USAGE,,unavailable
taxonomy,anon,SELECT,,unavailable
taxonomy,anon,INSERT,,unavailable
taxonomy,anon,UPDATE,,unavailable
taxonomy,anon,DELETE,,unavailable
taxonomy,authenticated,USAGE,,unavailable
taxonomy,authenticated,SELECT,,unavailable
taxonomy,authenticated,INSERT,,unavailable
taxonomy,authenticated,UPDATE,,unavailable
taxonomy,authenticated,DELETE,,unavailable
taxonomy,service_role,USAGE,,unavailable
taxonomy,service_role,SELECT,,unavailable
taxonomy,service_role,INSERT,,unavailable
taxonomy,service_role,UPDATE,,unavailable
taxonomy,service_role,DELETE,,unavailable
evidence,anon,USAGE,,unavailable
evidence,anon,SELECT,,unavailable
evidence,anon,INSERT,,unavailable
evidence,anon,UPDATE,,unavailable
evidence,anon,DELETE,,unavailable
evidence,authenticated,USAGE,,unavailable
evidence,authenticated,SELECT,,unavailable
evidence,authenticated,INSERT,,unavailable
evidence,authenticated,UPDATE,,unavailable
evidence,authenticated,DELETE,,unavailable
evidence,service_role,USAGE,,unavailable
evidence,service_role,SELECT,,unavailable
evidence,service_role,INSERT,,unavailable
evidence,service_role,UPDATE,,unavailable
evidence,service_role,DELETE,,unavailable
labour,anon,USAGE,,unavailable
labour,anon,SELECT,,unavailable
labour,anon,INSERT,,unavailable
labour,anon,UPDATE,,unavailable
labour,anon,DELETE,,unavailable
labour,authenticated,USAGE,,unavailable
labour,authenticated,SELECT,,unavailable
labour,authenticated,INSERT,,unavailable
labour,authenticated,UPDATE,,unavailable
labour,authenticated,DELETE,,unavailable
labour,service_role,USAGE,,unavailable
labour,service_role,SELECT,,unavailable
labour,service_role,INSERT,,unavailable
labour,service_role,UPDATE,,unavailable
labour,service_role,DELETE,,unavailable
reporting,anon,USAGE,,unavailable
reporting,anon,SELECT,,unavailable
reporting,anon,INSERT,,unavailable
reporting,anon,UPDATE,,unavailable
reporting,anon,DELETE,,unavailable
reporting,authenticated,USAGE,,unavailable
reporting,authenticated,SELECT,,unavailable
reporting,authenticated,INSERT,,unavailable
reporting,authenticated,UPDATE,,unavailable
reporting,authenticated,DELETE,,unavailable
reporting,service_role,USAGE,,unavailable
reporting,service_role,SELECT,,unavailable
reporting,service_role,INSERT,,unavailable
reporting,service_role,UPDATE,,unavailable
reporting,service_role,DELETE,,unavailable
ingest,anon,USAGE,,unavailable
ingest,anon,SELECT,,unavailable
ingest,anon,INSERT,,unavailable
ingest,anon,UPDATE,,unavailable
ingest,anon,DELETE,,unavailable
ingest,authenticated,USAGE,,unavailable
ingest,authenticated,SELECT,,unavailable
ingest,authenticated,INSERT,,unavailable
ingest,authenticated,UPDATE,,unavailable
ingest,authenticated,DELETE,,unavailable
ingest,service_role,USAGE,,unavailable
ingest,service_role,SELECT,,unavailable
ingest,service_role,INSERT,,unavailable
ingest,service_role,UPDATE,,unavailable
ingest,service_role,DELETE,,unavailable
api_private,anon,USAGE,,unavailable
api_private,anon,SELECT,,unavailable
api_private,anon,INSERT,,unavailable
api_private,anon,UPDATE,,unavailable
api_private,anon,DELETE,,unavailable
api_private,authenticated,USAGE,,unavailable
api_private,authenticated,SELECT,,unavailable
api_private,authenticated,INSERT,,unavailable
api_private,authenticated,UPDATE,,unavailable
api_private,authenticated,DELETE,,unavailable
api_private,service_role,USAGE,,unavailable
api_private,service_role,SELECT,,unavailable
api_private,service_role,INSERT,,unavailable
api_private,service_role,UPDATE,,unavailable
api_private,service_role,DELETE,,unavailable
