schema_name,relation_name,relation_type,owner,rls_enabled,has_primary_key,foreign_key_count,has_country_column,has_created_updated,has_reviewed_date,has_source_or_snapshot_column,observation_status,observation_source
"ingest","occupation_state_uk","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","occupation_profiles_au","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","occupation_outlook_au","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","occupation_vacancies_au","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","occupation_regional_employment_au","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","occupation_mobility_flows_au","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","occupation_mobility_stocks_au","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","occupation_pathways_au","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","occupation_shortage_drivers_au","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","occupation_sa4_au","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","visa_occupation_status_au","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","regulatory_requirements_au","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","program_page_facts_au","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","state_salary_multiplier","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","country_pr_pathways","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","shortage_occupations_ie","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","language_schools_ie","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
"ingest","language_courses_ie","table","null","null","null","null","null","null","null","null","unavailable","static_migration_analysis"
