schema_name,relation_name,relation_type,owner,rls_enabled,has_primary_key,foreign_key_count,has_country_column,has_created_updated,has_reviewed_date,has_source_or_snapshot_column,observation_status,observation_source
catalog,campuses,table,postgres,t,t,3,t,t,f,f,observed,observed_database
catalog,institution_identifiers,table,postgres,t,t,1,f,t,f,t,observed,observed_database
catalog,institutions,table,postgres,t,t,1,t,t,f,f,observed,observed_database
catalog,legacy_entity_map,table,postgres,t,t,0,f,f,f,f,observed,observed_database
catalog,programme_accreditations,table,postgres,t,t,3,f,t,t,f,observed,observed_database
catalog,programme_fees,table,postgres,t,t,3,f,t,f,f,observed,observed_database
catalog,programme_identifiers,table,postgres,t,t,1,f,t,f,t,observed,observed_database
catalog,programme_offerings,table,postgres,t,t,2,f,t,f,t,observed,observed_database
catalog,programme_requirements,table,postgres,t,t,2,f,t,t,f,observed,observed_database
catalog,programmes,table,postgres,t,t,2,f,t,f,f,observed,observed_database
core,countries,table,postgres,t,t,0,f,t,f,f,observed,observed_database
core,currencies,table,postgres,t,t,0,f,t,f,f,observed,observed_database
core,geographies,table,postgres,t,t,2,t,t,f,f,observed,observed_database
core,qualification_frameworks,table,postgres,t,t,1,t,t,f,t,observed,observed_database
core,qualification_levels,table,postgres,t,t,1,f,t,f,f,observed,observed_database
evidence,claim_evidence,table,postgres,t,t,2,f,t,f,f,observed,observed_database
evidence,claims,table,postgres,t,t,0,f,t,f,f,observed,observed_database
evidence,ingestion_runs,table,postgres,t,t,0,f,f,f,t,observed,observed_database
evidence,metric_observations,table,postgres,t,t,1,f,t,t,t,observed,observed_database
evidence,review_events,table,postgres,t,t,0,f,f,t,f,observed,observed_database
evidence,source_register_records,table,postgres,t,t,2,f,t,f,t,observed,observed_database
evidence,source_snapshots,table,postgres,t,t,1,f,t,f,t,observed,observed_database
evidence,sources,table,postgres,t,t,1,t,t,f,t,observed,observed_database
ingest,cities_au,table,postgres,t,t,0,f,f,f,f,observed,observed_database
ingest,cities_ca,table,postgres,t,t,0,f,f,f,f,observed,observed_database
ingest,cities_ie,table,postgres,t,t,0,f,f,f,f,observed,observed_database
ingest,cities_uk,table,postgres,t,t,0,f,f,f,f,observed,observed_database
ingest,cities_us,table,postgres,t,t,0,f,f,f,f,observed,observed_database
ingest,colleges_au,table,postgres,t,t,0,f,f,f,f,observed,observed_database
ingest,colleges_ca,table,postgres,t,t,0,f,f,f,f,observed,observed_database
ingest,colleges_ie,table,postgres,t,t,0,f,f,f,f,observed,observed_database
ingest,colleges_nl,table,postgres,t,t,0,f,f,f,f,observed,observed_database
ingest,colleges_uk,table,postgres,t,t,0,f,f,f,f,observed,observed_database
ingest,colleges_us,table,postgres,t,t,0,f,f,f,f,observed,observed_database
