schema_name,role_name,privilege,has_privilege,status,observation_source
core,anon,USAGE,f,observed,observed_database
core,anon,SELECT,0,observed,observed_database
core,anon,INSERT,0,observed,observed_database
core,anon,UPDATE,0,observed,observed_database
core,anon,DELETE,0,observed,observed_database
core,authenticated,USAGE,f,observed,observed_database
core,authenticated,SELECT,0,observed,observed_database
core,authenticated,INSERT,0,observed,observed_database
core,authenticated,UPDATE,0,observed,observed_database
core,authenticated,DELETE,0,observed,observed_database
core,service_role,USAGE,t,observed,observed_database
core,service_role,SELECT,5,observed,observed_database
core,service_role,INSERT,5,observed,observed_database
core,service_role,UPDATE,5,observed,observed_database
core,service_role,DELETE,5,observed,observed_database
catalog,anon,USAGE,f,observed,observed_database
catalog,anon,SELECT,0,observed,observed_database
catalog,anon,INSERT,0,observed,observed_database
catalog,anon,UPDATE,0,observed,observed_database
catalog,anon,DELETE,0,observed,observed_database
catalog,authenticated,USAGE,f,observed,observed_database
catalog,authenticated,SELECT,0,observed,observed_database
catalog,authenticated,INSERT,0,observed,observed_database
catalog,authenticated,UPDATE,0,observed,observed_database
catalog,authenticated,DELETE,0,observed,observed_database
catalog,service_role,USAGE,t,observed,observed_database
catalog,service_role,SELECT,10,observed,observed_database
catalog,service_role,INSERT,10,observed,observed_database
catalog,service_role,UPDATE,10,observed,observed_database
catalog,service_role,DELETE,10,observed,observed_database
taxonomy,anon,USAGE,f,observed,observed_database
taxonomy,anon,SELECT,0,observed,observed_database
taxonomy,anon,INSERT,0,observed,observed_database
taxonomy,anon,UPDATE,0,observed,observed_database
taxonomy,anon,DELETE,0,observed,observed_database
taxonomy,authenticated,USAGE,f,observed,observed_database
taxonomy,authenticated,SELECT,0,observed,observed_database
taxonomy,authenticated,INSERT,0,observed,observed_database
taxonomy,authenticated,UPDATE,0,observed,observed_database
taxonomy,authenticated,DELETE,0,observed,observed_database
taxonomy,service_role,USAGE,t,observed,observed_database
taxonomy,service_role,SELECT,5,observed,observed_database
taxonomy,service_role,INSERT,5,observed,observed_database
taxonomy,service_role,UPDATE,5,observed,observed_database
taxonomy,service_role,DELETE,5,observed,observed_database
evidence,anon,USAGE,f,observed,observed_database
evidence,anon,SELECT,0,observed,observed_database
evidence,anon,INSERT,0,observed,observed_database
evidence,anon,UPDATE,0,observed,observed_database
evidence,anon,DELETE,0,observed,observed_database
evidence,authenticated,USAGE,f,observed,observed_database
evidence,authenticated,SELECT,0,observed,observed_database
evidence,authenticated,INSERT,0,observed,observed_database
evidence,authenticated,UPDATE,0,observed,observed_database
evidence,authenticated,DELETE,0,observed,observed_database
evidence,service_role,USAGE,t,observed,observed_database
evidence,service_role,SELECT,8,observed,observed_database
evidence,service_role,INSERT,8,observed,observed_database
evidence,service_role,UPDATE,8,observed,observed_database
evidence,service_role,DELETE,8,observed,observed_database
labour,anon,USAGE,f,observed,observed_database
labour,anon,SELECT,0,observed,observed_database
labour,anon,INSERT,0,observed,observed_database
labour,anon,UPDATE,0,observed,observed_database
labour,anon,DELETE,0,observed,observed_database
labour,authenticated,USAGE,f,observed,observed_database
labour,authenticated,SELECT,0,observed,observed_database
labour,authenticated,INSERT,0,observed,observed_database
labour,authenticated,UPDATE,0,observed,observed_database
labour,authenticated,DELETE,0,observed,observed_database
labour,service_role,USAGE,t,observed,observed_database
labour,service_role,SELECT,1,observed,observed_database
labour,service_role,INSERT,1,observed,observed_database
labour,service_role,UPDATE,1,observed,observed_database
labour,service_role,DELETE,1,observed,observed_database
reporting,anon,USAGE,f,observed,observed_database
reporting,anon,SELECT,0,observed,observed_database
reporting,anon,INSERT,0,observed,observed_database
reporting,anon,UPDATE,0,observed,observed_database
reporting,anon,DELETE,0,observed,observed_database
reporting,authenticated,USAGE,f,observed,observed_database
reporting,authenticated,SELECT,0,observed,observed_database
reporting,authenticated,INSERT,0,observed,observed_database
reporting,authenticated,UPDATE,0,observed,observed_database
reporting,authenticated,DELETE,0,observed,observed_database
reporting,service_role,USAGE,t,observed,observed_database
reporting,service_role,SELECT,14,observed,observed_database
reporting,service_role,INSERT,14,observed,observed_database
reporting,service_role,UPDATE,14,observed,observed_database
reporting,service_role,DELETE,14,observed,observed_database
ingest,anon,USAGE,f,observed,observed_database
ingest,anon,SELECT,0,observed,observed_database
ingest,anon,INSERT,0,observed,observed_database
ingest,anon,UPDATE,0,observed,observed_database
ingest,anon,DELETE,0,observed,observed_database
ingest,authenticated,USAGE,f,observed,observed_database
ingest,authenticated,SELECT,0,observed,observed_database
ingest,authenticated,INSERT,0,observed,observed_database
ingest,authenticated,UPDATE,0,observed,observed_database
ingest,authenticated,DELETE,0,observed,observed_database
ingest,service_role,USAGE,t,observed,observed_database
ingest,service_role,SELECT,44,observed,observed_database
ingest,service_role,INSERT,44,observed,observed_database
ingest,service_role,UPDATE,44,observed,observed_database
ingest,service_role,DELETE,44,observed,observed_database
api_private,anon,USAGE,f,observed,observed_database
api_private,anon,SELECT,0,observed,observed_database
api_private,anon,INSERT,0,observed,observed_database
api_private,anon,UPDATE,0,observed,observed_database
api_private,anon,DELETE,0,observed,observed_database
api_private,authenticated,USAGE,f,observed,observed_database
api_private,authenticated,SELECT,0,observed,observed_database
api_private,authenticated,INSERT,0,observed,observed_database
api_private,authenticated,UPDATE,0,observed,observed_database
api_private,authenticated,DELETE,0,observed,observed_database
api_private,service_role,USAGE,t,observed,observed_database
api_private,service_role,SELECT,11,observed,observed_database
api_private,service_role,INSERT,0,observed,observed_database
api_private,service_role,UPDATE,0,observed,observed_database
api_private,service_role,DELETE,0,observed,observed_database
