"Employment income statistics by major field of study (detailed, 4-digit) and highest level of education: Canada, provinces and territories"
"Frequency: Occasional"
"Table: 98-10-0409-01"
"Release date: 2023-10-04"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data"
"Variable List: Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3), Age (15A), Highest certificate, diploma or degree (16), Work activity during the reference year (5), Income year (2), Employment income statistics (7)"

"Geography","Canada i1",,,,,,
"Gender (3) 1 2","Total - Gender",,,,,,
"Age (15A) 3","Total - Age",,,,,,
"Highest certificate, diploma or degree (16) 4","Master's degree",,,,,,
"Work activity during the reference year (5) 5","Total - Work activity during the reference year 6",,,,,,
"Income year (2)","2020",,,,,,
"Employment income statistics (7)","Total - Employment income statistics 8 9 10 11","With employment income","Median employment income ($)","Average employment income ($)","With wages, salaries and commissions","Median wages, salaries and commissions ($)","Average wages, salaries and commissions ($)"
"30.49 Mathematical economics","170","135","54,800","86,000","110","69,000","98,000"
"30.70 Data science","1,040","915","66,000","67,200","890","66,500","67,600"
"30.71 Data analytics","2,010","1,875","76,500","83,300","1,820","79,500","85,100"
"Architecture, engineering, and related trades","219,030","182,180","70,500","83,800","170,955","74,000","87,000"
"04. Architecture and related services","33,515","28,055","62,400","71,100","25,680","65,500","74,300"
"04.02 Architecture","18,325","15,475","58,400","67,900","13,930","61,600","71,300"
"04.03 City/urban, community and regional planning","11,960","9,890","71,000","77,300","9,295","73,500","79,800"
"04.04 Environmental design/architecture","605","515","54,800","72,000","480","54,000","71,200"
"04.05 Interior architecture","135","85","17,200","25,600","80","18,400","27,000"
"04.06 Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)","1,965","1,650","57,200","62,200","1,510","59,200","65,400"
"04.08 Architectural history, criticism, and conservation","120","85","64,500","56,000","70","78,000","66,000"
"04.09 Architectural sciences and technology","265","245","69,000","71,000","225","70,000","74,000"
"04.10 Real estate development","150","110","75,000","154,000","85","140,000","200,000"
"04.99 Architecture and related services, other","0","0","...","...","0","...","..."
"14. Engineering","174,500","144,825","73,000","86,500","136,560","76,500","89,700"
"14.01 General engineering","34,285","28,390","88,000","108,600","26,750","92,000","112,500"
"14.02 Aerospace, aeronautical and astronautical/space engineering","3,560","3,065","79,500","87,700","2,980","81,000","88,900"
"14.03 Agricultural engineering","1,180","910","43,200","49,100","840","48,400","52,100"
"14.04 Architectural engineering","400","280","37,200","52,400","235","40,800","58,400"
"14.05 Biomedical/medical engineering","2,960","2,445","60,400","68,200","2,305","62,000","69,000"
"14.06 Ceramic sciences and engineering","20","0","...","...","0","...","..."
"14.07 Chemical engineering","8,855","7,100","65,000","86,200","6,680","69,000","89,700"
"14.08 Civil engineering","22,895","18,580","68,000","77,900","17,240","72,500","81,900"
"14.09 Computer engineering","13,780","12,095","83,000","92,000","11,620","85,000","94,200"
"14.10 Electrical, electronics and communications engineering","27,045","22,060","78,500","89,000","20,750","82,000","92,600"
"14.11 Engineering mechanics","115","85","104,000","104,000","85","104,000","104,000"
"14.12 Engineering physics/applied physics","1,190","970","83,000","93,400","915","83,000","97,200"
"14.13 Engineering science","275","240","113,000","111,000","230","114,000","116,000"
"14.14 Environmental/environmental health engineering","3,455","2,900","67,000","75,700","2,725","69,000","78,200"
"14.18 Materials engineering","1,575","1,350","60,800","70,100","1,305","63,200","70,900"
"14.19 Mechanical engineering","23,510","19,790","63,200","73,600","18,670","66,000","76,300"
"14.20 Metallurgical engineering","600","425","68,500","93,600","390","85,000","101,200"
"14.21 Mining and mineral engineering","1,180","945","83,000","136,400","875","88,000","140,000"
"14.22 Naval architecture and marine engineering","645","525","97,000","91,600","495","101,000","96,000"
"14.23 Nuclear engineering","520","455","103,000","104,400","415","109,000","110,800"
"14.24 Ocean engineering","30","20","x","56,000","15","x","60,000"
"14.25 Petroleum engineering","1,970","1,630","48,800","79,400","1,540","52,800","83,000"
"14.27 Systems engineering","1,100","885","71,000","78,800","825","77,500","82,400"
"14.28 Textile sciences and engineering","185","115","56,000","51,000","110","57,600","50,000"
"14.32 Polymer/plastics engineering","120","75","43,200","50,000","65","50,800","56,000"
"14.33 Construction engineering","1,800","1,485","49,600","63,300","1,395","56,400","66,300"
"14.34 Forest engineering","220","170","66,500","81,000","170","67,000","84,000"
"14.35 Industrial engineering","5,275","4,550","65,000","74,800","4,375","66,500","75,500"
"14.36 Manufacturing engineering","815","660","68,500","78,000","635","74,000","80,400"
"14.37 Operations research","695","510","85,000","88,800","455","89,000","94,400"
"14.38 Surveying engineering","505","385","75,000","77,600","360","83,000","83,600"
"14.39 Geological/geophysical engineering","535","400","88,000","94,400","375","90,000","97,600"
"14.40 Paper science and engineering","70","50","118,000","116,000","45","118,000","132,000"
"14.41 Electromechanical engineering","335","240","65,000","69,000","220","69,500","73,000"
"14.42 Mechatronics, robotics, and automation engineering","1,495","1,260","76,500","78,200","1,185","82,000","82,000"
"14.43 Biochemical engineering","215","185","65,500","76,500","165","69,500","81,000"
"14.44 Engineering chemistry","315","250","42,800","50,400","200","52,000","58,800"
"14.45 Biological/biosystems engineering","355","305","44,400","99,000","290","44,400","100,000"
"14.47 Electrical and computer engineering","4,815","4,365","69,500","74,800","4,225","71,500","76,400"
"14.48 Energy systems engineering","2,045","1,715","59,600","68,400","1,640","62,400","70,300"
"14.99 Engineering, other","3,560","2,935","58,800","70,500","2,765","60,400","72,600"
"15. Engineering/engineering-related technologies/technicians","10,335","8,765","71,000","81,900","8,260","74,000","84,200"
"15.00 General engineering technologies/technicians","515","435","64,000","81,200","415","65,500","78,000"
"15.01 Architectural engineering technology/technician","0","0","...","...","0","...","..."
"15.02 Civil engineering technology/technician","45","35","73,500","85,000","35","73,500","85,000"
"15.03 Electrical/electronic engineering technologies/technicians","2,720","2,335","73,000","79,500","2,215","75,000","81,600"
"15.04 Electromechanical technologies/technicians","870","735","69,000","80,400","680","72,500","85,800"
"15.05 Environmental control technologies/technicians","170","130","50,800","61,000","115","54,800","64,000"
"15.06 Industrial production technologies/technicians","290","245","68,500","95,000","235","78,500","98,000"
"15.07 Quality control and safety technologies/technicians","1,125","945","72,000","82,400","910","72,500","82,200"
"15.08 Mechanical engineering related technologies/technicians","175","155","73,000","68,000","150","73,500","71,000"
"15.09 Mining and petroleum technologies/technicians","740","615","49,600","78,000","555","58,800","83,200"
"15.10 Construction engineering technology/technician","0","0","...","...","0","...","..."
"15.11 Engineering-related technologies/technicians","0","0","...","...","0","...","..."
"15.12 Computer engineering technologies/technicians","810","635","54,800","66,000","595","56,000","68,800"
"15.13 Drafting/design engineering technologies/technicians","0","0","...","...","0","...","..."
"15.14 Nuclear engineering technology/technician","0","0","...","...","0","...","..."
"15.15 Engineering-related fields","2,630","2,315","85,000","93,200","2,185","87,000","95,800"
"15.16 Nanotechnology","210","155","46,800","56,000","155","46,800","56,000"
"15.17 Energy systems technologies/technicians","0","0","...","...","0","...","..."
"15.99 Engineering/engineering-related technologies/technicians, other","15","0","...","...","0","...","..."
"30.12 Historic preservation and conservation","295","255","54,800","55,200","230","57,600","60,000"
"46. Construction trades","0","0","...","...","0","...","..."
"46.00 Construction trades, general","0","0","...","...","0","...","..."
"46.01 Masonry/mason","0","0","...","...","0","...","..."
"46.02 Carpentry/carpenter","0","0","...","...","0","...","..."
"46.03 Electrical and power transmission installers","0","0","...","...","0","...","..."
"46.04 Building/construction finishing, management and inspection","0","0","...","...","0","...","..."
"46.05 Plumbing and related water supply services","0","0","...","...","0","...","..."
"46.99 Construction trades, other","0","0","...","...","0","...","..."
"47. Mechanic and repair technologies/technicians","0","0","...","...","0","...","..."
"47.00 Mechanics and repairers, general","0","0","...","...","0","...","..."
"47.01 Electrical/electronics maintenance and repair technologies/technicians","0","0","...","...","0","...","..."
"47.02 Heating, air conditioning, ventilation and refrigeration maintenance technology/technician","0","0","...","...","0","...","..."
"47.03 Heavy/industrial equipment maintenance technologies/technicians","0","0","...","...","0","...","..."
"47.04 Precision systems maintenance and repair technologies/technicians","0","0","...","...","0","...","..."
"47.06 Vehicle maintenance and repair technologies/technicians","0","0","...","...","0","...","..."
"47.07 Energy systems maintenance and repair technologies/technicians","0","0","...","...","0","...","..."
"47.99 Mechanic and repair technologies/technicians, other","0","0","...","...","0","...","..."
"48. Precision production","380","280","41,600","50,000","230","48,400","58,000"
"48.00 Precision production trades, general","0","0","...","...","0","...","..."
"48.03 Leatherworking and upholstery","0","0","...","...","0","...","..."
"48.05 Precision metal working","0","0","...","...","0","...","..."
"48.07 Woodworking","0","0","...","...","0","...","..."
"48.08 Boilermaking/boilermaker","0","0","...","...","0","...","..."
"48.99 Precision production, other","380","280","41,600","50,000","230","48,400","58,000"
"Agriculture, natural resources and conservation","38,485","32,160","60,000","66,600","29,720","62,800","68,700"
"01. Agricultural and veterinary sciences/services/operations and related fields 13","15,445","12,340","55,200","62,850","11,125","60,000","66,700"
"01.00 Agriculture, general","2,565","1,940","49,600","60,850","1,645","58,000","66,600"
"01.01 Agricultural business and management","1,790","1,425","55,600","64,500","1,270","62,000","69,400"
"01.02 Agricultural mechanization","50","40","42,400","56,000","30","x","64,000"
"01.03 Agricultural production operations","585","465","58,000","60,800","420","66,000","63,200"
"01.04 Agricultural and food products processing","90","85","51,600","48,000","70","56,400","56,000"
"01.05 Agricultural and domestic animal services","0","0","...","...","0","...","..."
"01.06 Applied horticulture/horticultural business services","525","400","37,200","46,200","335","42,400","49,800"
"01.07 International agriculture","0","0","...","...","0","...","..."
"01.08 Agricultural public services","135","95","54,000","55,000","90","45,600","54,000"
"01.09 Animal sciences","1,390","1,140","56,000","61,400","1,035","59,200","64,600"
"01.10 Food science and technology","3,575","2,965","56,000","60,700","2,830","58,800","62,350"
"01.11 Plant sciences","2,090","1,690","52,800","59,100","1,480","57,200","63,650"
"01.12 Soil sciences","975","785","61,600","67,600","695","72,000","73,600"
"01.13 Agriculture/veterinary preparatory programs","0","0","...","...","0","...","..."
"01.80 Veterinary medicine (DVM)","0","0","...","...","0","...","..."
"01.81 Veterinary biomedical and clinical sciences (Cert., MS, MSc, PhD)","1,545","1,220","68,000","81,600","1,115","70,000","85,600"
"01.82 Veterinary administrative services","0","0","...","...","0","...","..."
"01.83 Veterinary/animal health technologies/technicians","15","15","x","60,000","15","x","60,000"
"01.99 Agricultural and veterinary sciences/services/operations and related fields, other","90","65","37,600","48,000","55","37,600","50,000"
"03. Natural resources and conservation","23,045","19,820","62,400","69,000","18,600","65,000","69,900"
"03.01 Natural resources conservation and research","13,530","11,740","61,600","68,600","11,020","63,200","69,500"
"03.02 Environmental/natural resources management and policy","5,685","5,010","67,500","72,400","4,735","68,500","72,500"
"03.03 Fishing and fisheries sciences and management","340","245","48,800","73,000","215","57,200","77,500"
"03.05 Forestry","3,135","2,550","62,000","64,500","2,380","63,600","66,600"
"03.06 Wildlife and wildlands science and management","230","160","59,600","56,000","145","60,000","57,000"
"03.99 Natural resources and conservation, other","125","115","60,400","63,000","105","70,500","70,000"
"Health and related fields","152,635","129,785","68,500","73,800","118,245","69,000","72,600"
"30.37 Design for human health","25","25","x","68,000","20","x","80,000"
"31. Parks, recreation, leisure, fitness, and kinesiology","11,110","9,035","52,400","58,150","8,230","54,800","59,350"
"31.01 Parks, recreation, and leisure studies","520","405","56,000","61,600","385","61,200","61,600"
"31.03 Parks, recreation, and leisure facilities management","50","35","45,200","44,000","35","45,200","38,000"
"31.05 Sports, kinesiology, and physical education/physical fitness","10,480","8,555","52,000","58,050","7,775","54,400","59,300"
"31.06 Outdoor education","60","35","47,200","60,000","35","47,200","60,000"
"31.99 Parks, recreation, leisure, fitness, and kinesiology, other","0","0","...","...","0","...","..."
"51. Health professions and related programs 13","138,960","118,310","69,000","74,600","107,615","69,500","73,200"
"51.00 General health services/allied health/health sciences","6,790","5,660","65,000","73,700","5,310","65,500","72,100"
"51.01 Chiropractic (DC)","170","135","35,600","45,000","95","25,000","44,000"
"51.02 Communication disorders sciences and services","14,345","12,370","69,500","64,200","11,160","70,500","65,400"
"51.04 Dentistry (DDS, DMD)","0","0","...","...","0","...","..."
"51.05 Advanced/graduate dentistry and oral sciences (Cert., MS, MSc, PhD)","3,275","2,405","63,600","97,300","1,925","54,800","88,400"
"51.06 Dental support services and allied professions","60","55","62,400","70,000","55","62,400","70,000"
"51.07 Health and medical administrative services","7,080","5,710","92,000","95,400","5,415","93,000","95,800"
"51.08 Allied health and medical assisting services","0","0","...","...","0","...","..."
"51.09 Allied health diagnostic, intervention and treatment professions","1,110","895","76,000","83,000","835","84,000","85,600"
"51.10 Clinical/medical laboratory science/research and allied professions","1,075","790","52,000","66,200","755","54,000","68,600"
"51.11 Health/medical preparatory programs","0","0","...","...","0","...","..."
"51.12 Medicine","0","0","...","...","0","...","..."
"51.14 Medical clinical sciences/graduate medical studies","12,320","9,525","69,500","102,500","8,005","66,000","90,300"
"51.15 Mental and social health services and allied professions","6,500","5,495","51,200","53,350","4,300","53,200","53,650"
"51.17 Optometry (OD)","0","0","...","...","0","...","..."
"51.18 Ophthalmic and optometric support services and allied professions","355","275","51,600","62,000","210","43,200","55,200"
"51.20 Pharmacy, pharmaceutical sciences and administration","8,850","7,510","63,600","76,500","7,175","65,000","77,000"
"51.22 Public health","17,815","15,285","68,500","77,300","14,365","67,000","72,700"
"51.23 Rehabilitation and therapeutic professions","29,470","27,285","60,800","57,350","24,165","60,400","56,250"
"51.26 Health aides/attendants/orderlies","0","0","...","...","0","...","..."
"51.27 Medical illustration and informatics","1,095","985","78,000","86,800","910","79,000","90,000"
"51.31 Dietetics and clinical nutrition services","890","685","60,000","57,700","625","62,400","59,400"
"51.32 Health professions education, ethics, and humanities","1,815","1,415","94,000","106,400","1,310","88,000","94,100"
"51.33 Alternative and complementary medicine and medical systems","1,140","835","20,400","34,800","515","32,800","43,800"
"51.34 Alternative and complementary medical support services","225","155","48,000","60,000","120","46,800","54,000"
"51.35 Somatic bodywork and related therapeutic services","40","35","11,100","13,000","15","x","24,000"
"51.36 Movement and mind-body therapies","70","55","42,400","44,000","30","47,600","64,000"
"51.37 Energy-based and biologically-based therapies","15","0","...","...","0","...","..."
"51.38 Registered nursing, nursing administration, nursing research and clinical nursing","24,405","20,695","93,000","85,600","20,270","93,000","85,900"
"51.39 Practical nursing, vocational nursing and nursing assistants","0","0","...","...","0","...","..."
"51.99 Health professions and related programs, other","35","35","x","150,000","30","x","110,000"
"60. Health professions residency/fellowship programs","2,540","2,415","102,000","93,000","2,380","101,000","91,000"
"60.01 Dental residency/fellowship programs","0","0","...","...","0","...","..."
"60.03 Veterinary residency/fellowship programs","0","0","...","...","0","...","..."
"60.07 Nurse practitioner residency/fellowship programs","2,535","2,410","102,000","92,900","2,380","101,000","90,800"
"60.08 Pharmacy residency/fellowship programs","0","0","...","...","0","...","..."
"60.09 Physician assistant residency/fellowship programs","0","0","...","...","0","...","..."
"60.99 Health professions residency/fellowship programs, other","0","0","...","...","0","...","..."
"61. Medical residency/fellowship programs","0","0","...","...","0","...","..."
"61.01 Combined medical residency/fellowship programs","0","0","...","...","0","...","..."
"61.02 Multiple-pathway medical fellowship programs","0","0","...","...","0","...","..."
"61.03 Allergy and immunology residency/fellowship programs","0","0","...","...","0","...","..."
"61.04 Anesthesiology residency/fellowship programs","0","0","...","...","0","...","..."
"61.05 Dermatology residency/fellowship programs","0","0","...","...","0","...","..."
"61.06 Emergency medicine residency/fellowship programs","0","0","...","...","0","...","..."
"61.07 Family medicine residency/fellowship programs","0","0","...","...","0","...","..."
"61.08 Internal medicine residency/fellowship programs","0","0","...","...","0","...","..."
"61.09 Medical genetics and genomics residency/fellowship programs","0","0","...","...","0","...","..."
"61.10 Neurological surgery residency/fellowship programs","0","0","...","...","0","...","..."
"61.11 Neurology residency/fellowship programs","0","0","...","...","0","...","..."
"61.12 Nuclear medicine residency/fellowship programs","0","0","...","...","0","...","..."
"61.13 Obstetrics and gynecology residency/fellowship programs","0","0","...","...","0","...","..."
"61.14 Ophthalmology residency/fellowship programs","0","0","...","...","0","...","..."
"61.15 Orthopedic surgery residency/fellowship programs","0","0","...","...","0","...","..."
"61.16 Osteopathic medicine residency/fellowship programs","0","0","...","...","0","...","..."
"61.17 Otolaryngology residency/fellowship programs","0","0","...","...","0","...","..."
"61.18 Pathology residency/fellowship programs","0","0","...","...","0","...","..."
"61.19 Pediatrics residency/fellowship programs","0","0","...","...","0","...","..."
"61.20 Physical medicine and rehabilitation residency/fellowship programs","0","0","...","...","0","...","..."
"61.21 Plastic surgery residency/fellowship programs","0","0","...","...","0","...","..."
"61.22 Podiatric medicine residency/fellowship programs","0","0","...","...","0","...","..."
"61.23 Preventive medicine residency/fellowship programs","0","0","...","...","0","...","..."
"61.24 Psychiatry residency/fellowship programs","0","0","...","...","0","...","..."
"61.25 Radiation oncology residency/fellowship programs","0","0","...","...","0","...","..."
"61.26 Radiology residency/fellowship programs","0","0","...","...","0","...","..."
"61.27 Surgery residency/fellowship programs","0","0","...","...","0","...","..."
"61.28 Urology residency/fellowship programs","0","0","...","...","0","...","..."
"61.99 Medical residency/fellowship programs, other","0","0","...","...","0","...","..."
"Personal, protective and transportation services","6,525","5,795","91,000","91,000","5,525","93,000","93,800"
"12. Culinary, entertainment, and personal services","70","60","44,400","50,000","45","44,800","54,000"
"12.03 Funeral service and mortuary science","0","0","...","...","0","...","..."
"12.04 Cosmetology and related personal grooming services","0","0","...","...","0","...","..."
"12.05 Culinary arts and related services","70","60","44,400","50,000","45","44,800","54,000"
"12.06 Casino operations and services","0","0","...","...","0","...","..."
"12.99 Culinary, entertainment, and personal services, other","0","0","...","...","0","...","..."
"28. Military science, leadership and operational art","1,840","1,640","124,000","108,400","1,585","125,000","111,800"
"28.08 Military science, leadership and operational artCAN","1,840","1,640","124,000","108,400","1,585","125,000","111,800"
"29. Military technologies and applied sciences","220","175","110,000","101,000","165","119,000","106,000"
"29.05 Military technologies and applied sciencesCAN","220","175","110,000","101,000","165","119,000","106,000"
"43. Security and protective services","2,720","2,545","84,000","83,300","2,440","85,000","84,600"
"43.01 Criminal justice and corrections","850","770","78,000","79,400","730","83,000","82,200"
"43.02 Fire protection","35","35","73,000","60,000","30","x","72,000"
"43.03 Security and protective services, specialized programs","1,160","1,095","92,000","93,000","1,070","92,000","93,200"
"43.04 Security science and technology","675","640","69,000","73,400","600","71,000","73,200"
"43.99 Security and protective services, other","0","0","...","...","0","...","..."
"49. Transportation and materials moving","1,675","1,375","75,000","85,000","1,290","80,000","89,200"
"49.01 Air transportation","1,085","950","82,000","89,800","910","82,000","92,200"
"49.02 Ground transportation","0","0","...","...","0","...","..."
"49.03 Marine transportation","455","330","67,000","74,800","290","78,500","84,000"
"49.99 Transportation and materials moving, other","130","95","65,500","73,000","90","75,000","75,000"
"Other","560","495","72,500","70,000","455","76,500","72,800"
"30.00 Inclusive postsecondary education","0","0","...","...","0","...","..."
"30.99 Multidisciplinary/interdisciplinary studies, other","560","495","72,500","70,000","455","76,500","72,800"

Symbol legend:
..., not applicable
x, suppressed to meet the confidentiality requirements of the Statistics Act


Abbreviation notes:

List of abbreviations and acronyms found within various Census products.
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm)



iBall:
i1,"Geography name: Canada; Geographic area type: Country; Geographic area type abbreviation: Country; Geographic level: Country; Province or territory abbreviation: ...; Dissemination Geography Unique Identifier (DGUID): 2021A000011124; Alternative geographic code: 01; Province or territory geocode: 01; Long-form total non-response rate: 4.3; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."



Footnotes:
1,"Gender  Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman).   Gender includes the following concepts:   gender identity, which refers to the gender that a person feels internally and individually;   gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (e.g., clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender.  A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's licence. A person's gender may change over time.   Some people may not identify with a specific gender."
2,"Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol."
3,"Age    'Age' refers to the age of a person (or subject) of interest at last birthday (or relative to a specified, well-defined reference date)."
4,"Highest certificate, diploma or degree  Highest certificate, diploma or degree is the classification used in the census to measure the broader concept of 'Educational attainment.'  This variable refers to the highest level of education that a person has successfully completed and is derived from the educational qualifications questions, which asked for all certificates, diplomas and degrees to be reported.  The general hierarchy used in deriving this variable (high school, trades, college, university) is loosely tied to the 'in-class' duration of the various types of education. At the detailed level, someone who has completed one type of certificate, diploma or degree will not necessarily have completed the credentials listed below it in the hierarchy. For example, a person with an apprenticeship or trades certificate or diploma may not have completed a high school certificate or diploma, nor does an individual with a 'master's degree' necessarily have a 'university certificate or diploma above bachelor level.' Although the hierarchy may not fit all programs perfectly, it gives a general measure of educational attainment.  This variable is reported for persons aged 15 years and over in private households."
5,"Work activity during the reference year    'Work activity during the reference year' refers to whether or not a person 15 years or over worked during the reference year. For those who did work, this refers to the number of weeks in which the person worked for pay or in self-employment during the reference year at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week)."
6,"Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2020 at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week)."
8,"Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
9,"Wages, salaries and commissions - Gross wages and salaries before deductions for such items as income taxes, pension plan contributions and employment insurance premiums during the reference period. While other employee remuneration such as security options benefits, board and lodging and other taxable allowances and benefits are included in this source, employer's contributions to pension plans and employment insurance plans are excluded. Other receipts included in this source are military pay and allowances, tips, commissions and cash bonuses associated with paid employment, benefits from wage-loss replacement plans or income-maintenance insurance plans, supplementary unemployment benefits from an employer or union, research grants, royalties from a work or invention with no associated expenses and all types of casual earnings during the reference period."
10,"The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative)."
11,"Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes are calculated for those with income (positive or negative)."
7,"Major field of study (based on the Classification of Instructional Programs (CIP) Canada 2021)  Field of study refers to the discipline or area of learning or training associated with a particular course or program of study.  This 'Major field of study' variable refers to the predominant discipline or area of learning or training of a person's highest completed postsecondary certificate, diploma or degree, classified according to the Classification of Instructional Programs (CIP) Canada 2021.  This variable can be used either independently or in conjunction with the 'Highest certificate, diploma or degree' variable. When the latter is used with 'Major field of study,' it should be noted that different fields of study will be more common for different types of postsecondary qualifications. At the detailed program level, some programs are only offered at certain levels of education.  There was an explicit instruction in the questionnaire which instructed respondents to be as specific as possible in indicating a subfield or subcategory of specialization within a broad discipline or area of training.  This variable is reported for persons aged 15 years and over in private households."
12,"This variable shows the hierarchy of the 'alternative primary groupings' (a CIP variant) with detail on the two-digit series and the four-digit subseries. For more information on the CIP classification, see the Classification of Instructional Programs, Canada 2021: http://www.statcan.gc.ca/eng/concepts/classification. For information on classification and data quality for this variable, refer to the Education Reference Guide, Census of Population, 2021, Catalogue no. 98-500-X2021013."
13,"Veterinary medicine, veterinary science, veterinary technology, and veterinary administrative support services, which were included in series '51. Health professions and related programs' in CIP 2016, are now included in series '01. Agricultural and veterinary sciences/services/operations and related fields' in CIP 2021."



"How to cite: Statistics Canada. Table 98-10-0409-01  Employment income statistics by major field of study (detailed, 4-digit) and highest level of education: Canada, provinces and territories"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810040901
